slot,core_id,band,n,m
545,515,33,252,15
546,516,29,230,18
547,517,30,135,16
548,518,29,249,17
549,519,32,210,15
550,34,31,216,18
551,520,33,179,13
552,521,26,210,21
553,522,37,232,12
554,523,33,219,13
555,524,33,254,14
556,525,30,209,16
557,526,29,171,17
558,527,31,247,15
559,528,33,239,13
560,529,32,165,14
561,530,33,212,15
562,531,27,186,20
563,532,33,166,14
564,533,35,232,14
565,534,31,213,15
566,535,31,178,16
567,536,36,166,11
568,537,35,171,11
569,77,38,128,15
570,538,31,139,15
571,539,31,157,15
572,540,33,225,13
573,541,31,147,15
574,542,30,153,16
575,543,34,220,14
576,544,29,177,17
577,545,34,194,13
578,546,30,191,16
579,191,33,184,16
580,547,40,192,12
581,91,34,232,15
582,548,26,206,21
583,549,29,165,17
584,550,30,220,18
585,551,29,221,17
586,552,32,206,15
587,553,30,197,16
588,554,31,229,15
589,555,31,177,15
590,556,32,130,15
591,557,32,147,14
592,42,33,136,16
593,385,35,192,17
594,558,36,144,14
595,559,32,227,14
596,560,31,218,16
597,561,29,179,17
598,562,24,191,22
599,563,30,241,16
600,564,31,210,16
601,174,34,140,14
602,565,25,234,22
603,566,29,220,19
604,567,28,185,18
605,568,32,214,15
606,569,32,191,14
607,570,32,251,14
608,571,28,177,18
609,572,31,205,15
610,573,35,152,14
611,574,31,227,15
612,575,33,230,14
613,576,31,179,15
614,460,37,240,13
615,577,31,138,16
616,322,37,140,11
617,578,32,228,16
618,579,31,219,15
619,580,27,129,19
620,146,36,160,15
621,581,31,254,16
622,306,30,156,18
623,582,33,159,13
624,583,32,185,14
625,584,34,216,15
626,208,33,232,16
627,585,31,199,15
628,586,28,217,18
629,323,32,164,16
630,305,31,188,17
631,451,35,240,15
632,587,36,178,11
633,588,29,151,17
634,584,35,135,11
635,589,28,207,18
636,590,42,128,11
637,591,33,162,14
638,482,32,215,14
639,592,33,246,14
640,226,32,156,16
641,593,32,221,14
642,594,35,149,11
643,595,34,243,12
644,596,31,236,17
645,597,32,167,14
646,598,27,215,19
647,599,30,203,16
648,600,27,151,19
649,601,29,229,17
650,602,30,245,16
651,603,30,165,16
652,604,29,217,17
653,127,33,130,14
654,605,37,204,11
655,606,32,158,15
656,558,37,180,11
657,607,31,137,15
658,608,34,252,14
659,609,25,219,21
660,610,35,187,11
661,540,32,180,16
662,368,33,148,15
663,611,33,236,15
664,31,33,156,15
665,612,35,167,11
666,613,31,241,15
667,614,30,174,17
668,615,30,249,16
669,616,33,170,14
670,617,31,255,15
671,393,34,176,16
672,618,32,138,15
673,619,29,153,17
674,620,30,157,16
675,621,31,193,15
676,622,30,217,16
677,623,32,162,15
678,624,29,253,17
679,625,37,236,11
680,626,31,231,15
681,529,31,132,17
682,627,35,193,11
683,628,30,250,17
684,629,33,206,14
685,630,30,145,16
686,631,31,183,15
687,632,36,168,13
688,99,37,192,15
689,633,35,203,11
690,634,35,216,14
691,635,32,245,14
692,636,30,251,16
693,637,31,155,15
694,638,33,250,14
695,639,31,159,15
696,640,32,225,14
697,92,34,240,16
698,641,33,167,13
699,358,34,184,15
700,642,29,131,17
701,643,30,137,16
702,644,35,153,11
703,645,31,233,15
704,646,28,211,18
705,647,35,165,11
706,396,30,215,16
707,648,26,140,22
708,162,38,200,11
709,649,30,216,19
710,650,36,186,11
711,651,27,229,19
712,652,30,213,16
713,653,28,134,19
714,654,32,133,14
715,32,34,200,15
716,655,29,222,18
717,656,28,182,19
718,657,35,183,11
719,658,33,210,14
720,451,34,192,18
721,659,34,228,14
722,660,29,206,18
723,661,32,175,14
724,662,32,218,15
725,663,35,137,11
726,664,36,142,11
727,640,31,180,17
728,665,29,226,18
729,365,36,210,11
730,666,30,199,16
731,667,30,163,16
732,668,39,176,11
733,669,28,199,18
734,670,32,183,14
735,671,25,229,21
736,672,30,151,16
737,673,29,159,17
738,29,34,152,15
739,674,31,187,15
740,675,27,212,21
741,676,30,223,16
742,677,29,163,17
743,678,32,250,15
744,679,28,145,18
745,680,32,146,15
746,681,30,214,17
747,682,31,131,15
748,38,27,172,21
749,637,30,248,19
750,683,27,230,20
751,684,31,158,16
752,685,31,222,16
753,686,29,197,17
754,687,28,155,18
755,688,31,201,15
756,689,35,163,11
757,690,31,170,16
758,691,29,239,17
759,692,38,216,11
760,693,29,166,18
761,694,27,165,19
762,695,31,167,15
763,696,36,226,11
764,139,33,248,16
765,487,34,248,15
766,697,33,190,14
767,698,30,152,19
768,50,31,136,18
769,699,31,223,15
770,28,32,132,16
771,679,27,232,22
772,700,29,183,17
773,701,29,141,17
774,702,28,225,18
775,703,30,247,16
776,704,28,214,19
777,705,30,226,17
778,698,31,190,16
779,706,28,153,18
780,707,28,188,20
781,76,38,140,10
782,708,26,153,20
783,709,29,189,17
784,710,32,186,15
785,711,27,163,19
786,519,31,168,18
787,647,34,132,14
788,187,34,224,17
789,260,32,216,17
790,712,32,154,15
791,713,30,133,16
792,714,29,130,18
793,715,30,187,16
794,716,30,239,16
795,717,30,179,16
796,718,28,161,18
797,719,32,212,16
798,720,29,236,19
799,721,31,150,16
800,722,31,242,16
801,723,30,194,17
802,724,30,233,16
803,725,31,253,15
804,726,35,207,11
805,727,29,198,18
806,648,27,175,19
807,728,30,234,17
808,729,30,237,16
809,730,31,220,17
810,731,29,190,18
811,732,29,158,18
812,121,31,184,18
813,733,31,244,17
814,734,30,228,18
815,735,27,221,19
816,736,31,142,16
817,284,33,152,16
818,737,26,187,20
819,658,32,168,17
820,738,29,150,18
821,6,32,196,16
822,739,28,165,18
823,740,35,211,11
824,741,28,157,18
825,742,29,155,17
826,353,35,224,16
827,244,33,208,17
828,743,31,154,16
829,744,30,253,16
830,745,28,189,18
831,746,29,254,18
832,661,31,140,17
833,747,29,157,17
834,748,30,231,16
835,749,29,147,17
836,750,29,169,17
837,751,30,161,16
838,752,25,147,21
839,753,32,202,15
840,754,29,207,17
841,216,34,144,16
842,755,29,247,17
843,756,36,206,11
844,757,24,187,22
845,758,36,214,11
846,759,25,245,21
847,377,34,208,16
848,760,32,233,14
849,761,27,227,19
850,762,30,143,16
851,678,31,200,18
852,763,31,133,15
853,764,30,147,16
854,765,30,242,17
855,742,28,248,21
856,766,29,175,17
857,767,32,142,15
858,768,28,178,19
859,769,30,201,16
860,770,30,130,17
861,771,30,166,17
862,772,36,194,11
863,2,37,128,16
864,773,35,181,11
865,357,31,232,18
866,774,31,153,15
867,775,29,193,17
868,776,27,201,19
869,777,28,190,19
870,778,27,213,19
871,779,31,214,16
872,780,26,225,20
873,781,29,187,17
874,410,31,204,17
875,782,31,186,16
876,783,28,251,18
877,784,28,137,18
878,785,24,250,23
879,786,31,206,16
880,787,30,222,17
881,788,28,197,18
882,789,28,218,19
883,790,29,250,18
884,791,29,143,17
885,792,28,183,18
886,793,26,155,20
887,794,29,129,17
888,649,31,135,15
889,795,26,131,20
890,796,20,179,26
891,797,27,209,19
892,798,26,246,21
893,799,31,146,16
894,119,30,200,19
895,800,28,206,19
896,801,29,201,17
897,802,27,233,19
898,803,28,247,18
899,270,33,144,17
900,804,29,255,17
901,805,30,173,16
902,806,31,169,15
903,807,30,221,16
904,808,31,209,15
905,809,27,255,19
906,810,29,186,18
907,811,27,222,20
908,812,26,129,20
909,813,35,201,11
910,814,26,251,20
911,815,29,203,17
912,816,28,227,18
913,817,28,209,18
914,818,35,251,11
915,819,28,243,18
916,820,27,185,19
917,153,31,152,18
918,821,24,153,22
919,822,27,236,21
920,823,31,212,17
921,824,26,213,20
922,825,30,142,17
923,826,25,253,21
924,827,31,228,17
925,828,32,198,15
926,829,30,150,17
927,830,35,221,11
928,831,31,163,15
929,832,28,159,18
930,833,29,137,17
931,834,29,211,17
932,146,35,128,18
933,835,28,169,18
934,836,28,163,18
935,90,32,148,16
936,837,29,223,17
937,838,28,246,19
938,839,29,213,17
939,840,36,218,11
940,572,30,164,18
941,254,30,188,18
942,841,28,220,20
943,842,31,166,16
944,843,26,146,21
945,844,31,226,16
946,444,31,164,17
947,845,30,167,16
948,846,25,129,21
949,847,28,173,18
950,848,32,220,16
951,849,29,209,17
952,850,23,173,23
953,851,30,254,17
954,852,30,207,16
955,853,28,186,19
956,854,35,189,11
957,855,35,173,11
958,856,28,237,18
959,857,29,199,17
960,858,30,149,16
961,721,30,240,20
962,859,29,139,17
963,860,35,191,11
964,543,33,176,17
965,861,27,166,20
966,862,28,242,19
967,863,27,211,19
968,864,29,238,18
969,865,26,135,20
970,866,27,146,20
971,867,28,174,19
972,868,26,209,20
973,869,26,157,20
974,870,30,146,17
975,871,27,179,19
976,872,28,151,18
977,575,32,184,17
978,873,30,212,18
979,874,31,134,16
980,875,28,135,18
981,467,30,208,20
982,876,27,195,19
983,461,31,248,18
984,877,28,255,18
985,878,28,150,19
986,879,29,252,19
987,880,30,158,17
988,617,30,204,18
989,881,35,179,11
990,882,29,133,17
991,883,28,231,18
992,884,24,217,22
993,885,28,147,18
994,886,29,219,17
995,491,31,156,17
996,887,29,231,17
997,888,29,237,17
998,162,36,128,17
999,567,27,148,21
1000,889,29,167,17
1001,382,35,185,11
1002,890,28,235,18
1003,891,28,180,20
1004,892,30,235,16
1005,893,29,134,18
1006,891,29,225,17
1007,894,35,197,11
1008,540,31,144,19
1009,486,37,220,11
1010,895,40,224,11
1011,896,29,181,17
1012,897,27,235,19
1013,320,32,176,18
1014,898,37,196,11
1015,899,29,170,18
1016,900,28,223,18
1017,388,34,128,19
1018,901,26,241,20
1019,92,33,192,19
1020,902,22,157,24
1021,903,27,147,19
1022,904,31,252,17
1023,905,26,197,20
1024,616,32,136,17
1025,906,28,179,18
1026,907,30,169,16
1027,908,32,236,16
1028,909,28,194,19
1029,26,32,232,17
1030,564,30,168,19
1031,910,28,221,18
1032,369,29,204,19
1033,911,31,162,16
1034,912,35,227,11
1035,913,35,199,11
1036,221,30,132,18
1037,914,30,218,17
1038,915,30,244,18
1039,916,27,219,19
1040,917,26,147,20
1041,918,26,191,20
1042,638,32,200,17
1043,466,33,168,16
1044,919,27,139,19
1045,920,26,231,20
1046,921,26,201,20
1047,922,37,188,11
1048,923,36,198,11
1049,924,27,194,20
1050,925,27,169,19
1051,926,29,210,18
1052,927,27,134,20
1053,928,28,236,20
1054,929,27,225,19
1055,930,29,138,18
1056,556,31,208,19
1057,931,24,237,22
1058,932,27,181,19
1059,697,32,152,17
1060,933,26,220,22
1061,934,27,203,19
1062,935,28,131,18
1063,174,33,224,18
1064,936,25,157,21
1065,937,29,228,19
1066,938,30,252,18
1067,877,27,204,21
1068,472,30,148,18
1069,939,26,229,20
1070,940,35,243,11
1071,941,28,210,19
1072,942,29,234,18
1073,180,31,192,21
1074,943,27,200,22
1075,944,30,162,17
1076,945,28,238,19
1077,946,30,186,17
1078,947,24,174,23
1079,948,29,227,17
1080,628,29,200,20
1081,949,26,174,21
1082,950,24,186,23
1083,951,27,245,19
1084,952,27,167,19
1085,953,27,239,19
1086,954,23,139,23
1087,943,28,250,19
1088,56,33,240,17
1089,955,29,242,18
1090,956,29,243,17
1091,450,27,135,19
1092,602,29,196,19
1093,957,26,211,20
1094,958,26,235,20
1095,4,29,148,19
1096,959,29,154,18
1097,960,26,194,21
1098,961,27,149,19
1099,962,26,242,21
1100,963,25,130,22
1101,964,32,252,16
1102,459,30,180,18
1103,965,30,134,17
1104,966,27,193,19
1105,967,27,202,20
1106,968,27,173,19
1107,969,29,202,18
1108,970,26,249,20
1109,346,36,230,11
1110,971,24,181,22
1111,972,29,185,17
1112,973,28,133,18
1113,974,25,169,21
1114,975,25,187,21
1115,583,31,148,17
1116,976,28,229,18
1117,977,26,255,20
1118,978,26,139,20
1119,979,28,201,18
1120,980,26,228,22
1121,981,25,134,22
1122,982,27,159,19
1123,983,30,193,16
1124,984,28,205,18
1125,985,27,223,19
1126,986,35,219,11
1127,790,28,200,21
1128,987,25,207,21
1129,988,26,195,20
1130,989,27,143,19
1131,32,33,160,18
1132,517,29,216,20
1133,990,25,232,24
1134,991,27,249,19
1135,363,29,136,20
1136,992,26,219,20
1137,993,26,179,20
1138,994,29,174,18
1139,995,27,218,20
1140,996,30,238,17
1141,997,27,170,20
1142,457,30,232,19
1143,998,25,231,21
1144,892,29,188,19
1145,999,26,239,20
1146,635,31,196,17
1147,1000,28,158,19
1148,318,30,184,19
1149,115,32,144,18
1150,1001,25,173,21
1151,1002,35,233,11
1152,1003,25,243,21
1153,1004,28,181,18
1154,1005,28,245,18
1155,1006,29,142,18
1156,690,30,136,19
1157,1007,26,238,21
1158,829,28,192,24
1159,1008,25,170,22
1160,661,30,224,21
1161,471,28,156,20
1162,1009,35,209,11
1163,941,27,168,22
1164,1010,24,255,22
1165,1011,25,185,21
1166,1012,25,205,21
1167,1013,27,161,19
1168,1014,28,241,18
1169,1015,22,234,25
1170,270,35,225,11
1171,1016,21,131,25
1172,1017,27,189,19
1173,1018,25,191,21
1174,1019,26,149,20
1175,1020,28,146,19
1176,1021,27,171,19
1177,1022,28,142,19
1178,1023,25,171,21
1179,1024,27,251,19
1180,1025,28,234,19
1181,1026,26,215,20
1182,1027,27,243,19
1183,1028,21,249,25
1184,1029,28,149,18
1185,1030,25,140,23
1186,1031,26,166,21
1187,483,28,164,20
1188,1032,35,213,11
1189,1033,35,249,11
1190,1034,27,199,19
1191,1035,29,246,18
1192,1036,24,129,22
1193,1037,28,167,18
1194,1038,26,193,20
1195,1039,25,241,21
1196,628,28,160,23
1197,1040,28,253,18
1198,804,28,204,20
1199,1041,27,162,20
1200,1042,24,249,22
1201,1043,28,171,18
1202,1044,28,252,20
1203,1045,20,243,26
1204,707,29,235,17
1205,264,29,164,19
1206,1046,26,214,21
1207,1047,28,219,18
1208,1048,27,182,20
1209,1049,17,139,29
1210,1050,25,214,22
1211,1051,25,142,22
1212,145,30,140,18
1213,1052,27,253,19
1214,1053,35,217,11
1215,1054,28,233,18
1216,1055,36,137,10
1217,1056,28,187,18
1218,1057,27,207,19
1219,1058,20,227,26
1220,1059,28,239,18
1221,683,26,184,23
1222,573,36,190,11
1223,1060,27,191,19
1224,1061,39,208,11
1225,1062,24,139,22
1226,1063,26,173,20
1227,1064,28,191,18
1228,1065,27,187,19
1229,1066,35,247,11
1230,1067,28,203,18
1231,1068,27,142,20
1232,899,28,136,21
1233,1069,25,237,21
1234,1070,26,230,21
1235,1071,27,155,19
1236,1072,25,227,21
1237,218,29,140,19
1238,1073,26,181,20
1239,372,35,215,11
1240,1074,24,155,22
1241,1075,24,241,22
1242,1076,24,223,22
1243,1077,27,130,20
1244,1078,29,218,18
1245,1079,28,154,19
1246,1080,23,225,23
1247,1081,25,252,23
1248,603,29,132,19
1249,1082,24,169,22
1250,1083,25,163,21
1251,1084,27,183,19
1252,1085,23,186,24
1253,1086,23,217,23
1254,1087,23,233,23
1255,1088,24,211,22
1256,1089,26,227,20
1257,1090,28,213,18
1258,875,27,216,22
1259,459,29,144,21
1260,1091,25,235,21
1261,1092,29,244,19
1262,1093,27,250,20
1263,926,28,168,21
1264,848,31,176,19
1265,1094,25,223,21
1266,1095,24,178,23
1267,766,28,140,20
1268,1096,25,149,21
1269,997,26,136,23
1270,1097,29,162,18
1271,1098,24,141,22
1272,434,29,180,19
1273,1099,28,212,20
1274,1100,28,166,19
1275,438,33,128,20
1276,1101,26,198,21
1277,1102,22,244,26
1278,1103,27,217,19
1279,1104,25,179,21
1280,1105,28,195,18
1281,276,29,248,20
1282,1106,23,177,23
1283,1107,27,197,19
1284,1108,27,214,20
1285,1109,28,222,19
1286,1110,25,161,21
1287,1111,24,251,22
1288,1112,25,211,21
1289,60,29,156,19
1290,550,29,176,21
1291,1113,24,143,22
1292,1114,25,213,21
1293,1115,26,159,20
1294,1116,19,201,27
1295,1117,21,182,26
1296,1118,24,207,22
1297,1119,24,216,25
1298,1120,25,239,21
1299,1121,27,141,19
1300,1122,26,223,20
1301,310,32,160,19
1302,1123,26,253,20
1303,1124,21,201,25
1304,1125,26,154,21
1305,1126,25,143,21
1306,1127,37,228,11
1307,1128,28,202,19
1308,1129,26,189,20
1309,1130,24,133,22
1310,1131,24,246,23
1311,1030,26,175,20
1312,1132,26,138,21
1313,1133,26,199,20
1314,841,27,176,23
1315,106,32,224,19
1316,1134,23,247,23
1317,1135,27,131,19
1318,1136,26,178,21
1319,730,30,176,20
1320,1137,25,215,21
1321,1138,26,161,20
1322,1139,28,198,19
1323,1140,26,169,20
1324,1141,27,220,21
1325,374,28,232,21
1326,1142,27,238,20
1327,1143,29,212,19
1328,1144,27,133,19
1329,1145,23,135,23
1330,1146,26,221,20
1331,1147,36,238,11
1332,1148,24,184,25
1333,1149,22,181,24
1334,1150,26,163,20
1335,1151,28,129,18
1336,1152,28,228,20
1337,1153,23,137,23
1338,1154,25,175,21
1339,1155,24,173,22
1340,829,29,240,21
1341,1156,27,178,20
1342,1157,26,150,21
1343,1158,28,138,19
1344,1159,26,142,21
1345,1160,25,195,21
1346,3,39,240,11
1347,549,28,132,20
1348,1161,36,131,10
1349,1162,36,202,11
1350,1163,37,134,10
1351,1164,23,253,23
1352,1165,19,173,27
1353,474,29,152,20
1354,1166,22,245,24
1355,397,35,205,11
1356,1167,26,137,20
1357,1168,24,231,22
1358,1005,27,196,21
1359,1169,25,197,21
1360,1170,24,203,22
1361,1171,27,241,19
1362,1172,28,170,19
1363,891,27,144,23
1364,1173,23,184,26
1365,1174,28,162,19
1366,1175,26,234,21
1367,1176,23,195,23
1368,1177,26,245,20
1369,1178,26,186,21
1370,1179,29,214,18
1371,1180,27,231,19
1372,1181,25,193,21
1373,1182,26,130,21
1374,1183,23,235,23
1375,1184,26,171,20
1376,714,28,208,22
1377,1185,26,162,21
1378,1186,28,254,19
1379,1187,27,244,21
1380,1188,26,205,20
1381,23,35,235,11
1382,780,25,180,23
1383,1189,37,212,11
1384,513,27,184,22
1385,1190,23,142,24
1386,1191,28,244,20
1387,1192,15,198,32
1388,1193,27,247,19
1389,1194,27,177,19
1390,1195,25,225,21
1391,1196,27,205,19
1392,1197,26,237,20
1393,1198,24,245,22
1394,1199,25,226,22
1395,1200,24,154,23
1396,1201,22,247,24
1397,1202,35,223,11
1398,1203,27,150,20
1399,1204,21,135,25
1400,1205,26,217,20
1401,630,29,232,20
1402,1206,25,165,21
1403,1207,27,234,20
1404,1208,36,222,11
1405,1209,27,154,20
1406,392,31,224,20
1407,1105,27,156,21
1408,1210,26,233,20
1409,1211,35,229,11
1410,1212,23,131,23
1411,1213,24,227,22
1412,1214,21,251,25
1413,1215,26,151,20
1414,56,32,192,20
1415,1216,22,130,25
1416,1217,23,189,23
1417,1218,26,133,20
1418,1219,28,226,19
1419,1220,26,183,20
1420,1221,23,138,24
1421,1222,25,158,22
1422,566,28,176,22
1423,1223,24,198,23
1424,1224,24,197,22
1425,1225,26,182,21
1426,1119,25,135,21
1427,1226,25,133,21
1428,1227,27,242,20
1429,206,27,140,21
1430,1228,26,190,21
1431,1229,22,230,25
1432,1230,27,206,20
1433,1231,35,231,11
1434,395,28,216,21
1435,1232,25,183,21
1436,32,32,128,21
1437,1233,22,154,25
1438,1234,25,247,21
1439,1235,27,157,19
1440,1236,24,167,22
1441,1237,23,182,24
1442,990,26,145,20
1443,1238,25,199,21
1444,1239,24,177,22
1445,1240,23,151,23
1446,1241,23,194,24
1447,1242,25,145,21
1448,1243,25,202,22
1449,1244,24,134,23
1450,1245,25,155,21
1451,1246,26,141,20
1452,1247,27,228,21
1453,1248,23,199,23
1454,1249,25,198,22
1455,1250,24,171,22
1456,1251,25,186,22
1457,1252,26,165,20
1458,1253,24,163,22
1459,1254,26,226,21
1460,1255,24,215,22
1461,640,30,144,20
1462,438,36,250,11
1463,1256,25,151,21
1464,638,31,160,20
1465,1257,21,246,26
1466,1258,26,252,22
1467,1259,27,158,20
1468,1260,36,246,11
1469,145,29,224,22
1470,1261,25,228,23
1471,1262,24,199,22
1472,1263,26,236,22
1473,1264,22,225,24
1474,1265,27,190,20
1475,1266,25,255,21
1476,1267,27,237,19
1477,1268,24,189,22
1478,1011,24,148,24
1479,1269,24,145,22
1480,1270,25,251,21
1481,972,28,148,20
1482,1271,21,153,25
1483,1272,27,254,20
1484,427,35,245,11
1485,1273,23,171,23
1486,1274,25,249,21
1487,1275,24,202,23
1488,1276,37,244,11
1489,1277,23,187,23
1490,1278,21,215,25
1491,770,29,208,21
1492,1279,22,163,24
1493,1280,25,238,22
1494,1281,23,181,23
1495,1282,25,246,22
1496,1283,24,239,22
1497,1284,24,243,22
1498,1285,25,250,22
1499,1286,24,222,23
1500,1287,23,236,25
1501,820,26,148,22
1502,503,41,160,10
1503,1288,38,164,10
1504,1289,36,203,10
1505,1290,26,243,20
1506,1291,35,241,11
1507,1292,36,133,10
1508,1,37,130,10
1509,1293,25,221,21
1510,1294,23,197,23
1511,1295,25,233,21
1512,1296,26,207,20
1513,310,31,128,22
1514,702,27,180,21
1515,1297,23,162,24
1516,1298,24,142,23
1517,1299,26,222,21
1518,1300,26,202,21
1519,1301,24,183,22
1520,1302,36,143,10
1521,1303,38,148,10
1522,1304,25,166,22
1523,1305,36,129,10
1524,1306,38,132,10
1525,1307,37,202,10
1526,1308,37,162,10
1527,1309,39,136,10
1528,1310,36,242,11
1529,1311,21,166,26
1530,1148,25,230,22
1531,1312,26,143,20
1532,1313,23,241,23
1533,516,28,184,21
1534,1314,27,210,20
1535,1315,36,254,11
1536,1316,24,193,22
1537,598,26,172,22
1538,1317,35,253,11
1539,1318,27,226,20
1540,1319,22,227,24
1541,1320,36,183,10
1542,1321,35,239,11
1543,1322,25,137,21
1544,1323,35,237,11
1545,1324,36,153,10
1546,1325,26,185,20
1547,446,28,196,20
1548,1326,21,235,25
1549,1327,25,190,22
1550,1328,36,151,10
1551,1329,22,158,25
1552,1330,23,191,23
1553,1331,38,248,11
1554,1080,22,180,26
1555,1332,25,153,21
1556,1333,27,246,20
1557,1334,23,159,23
1558,1335,25,218,22
1559,1336,25,206,22
1560,1337,24,147,22
1561,1338,36,234,11
1562,329,36,185,10
1563,1339,26,247,20
1564,1340,37,138,10
1565,984,27,164,21
1566,1341,36,159,10
1567,1342,23,221,23
1568,1343,37,142,10
1569,1344,24,149,22
1570,1345,36,171,10
1571,1346,40,144,10
1572,1347,36,213,10
1573,1348,36,139,10
1574,1349,40,176,10
1575,1350,39,184,10
1576,1351,37,182,10
1577,1352,39,168,10
1578,632,37,210,10
1579,1353,36,181,10
1580,131,35,255,11
1581,1354,26,244,22
1582,1355,20,161,26
1583,443,27,208,23
1584,1356,24,235,22
1585,437,29,184,20
1586,1357,22,174,25
1587,721,29,192,23
1588,1358,23,175,23
1589,739,27,132,21
1590,1091,24,188,24
1591,1359,24,209,22
1592,1360,43,128,10
1593,1361,37,154,10
1594,1362,37,146,10
1595,1363,36,179,10
1596,1364,25,139,21
1597,876,26,156,22
1598,1365,23,227,23
1599,738,28,240,22
1600,1366,21,239,25
1601,777,27,152,22
1602,1367,23,164,25
1603,1368,22,161,24
1604,1369,26,254,21
1605,1245,24,248,25
1606,1370,25,159,21
1607,1371,14,142,33
1608,1372,23,211,23
1609,1373,23,239,23
1610,1374,25,146,22
1611,218,28,224,23
1612,1375,25,181,21
1613,1376,24,190,23
1614,1377,37,252,11
1615,1378,23,147,23
1616,1379,20,169,26
1617,1380,26,158,21
1618,1381,24,226,23
1619,1195,24,180,24
1620,1382,24,159,22
1621,1383,24,210,23
1622,1384,18,254,29
1623,1385,18,133,28
1624,1386,27,198,20
1625,1387,18,243,28
1626,1388,22,171,24
1627,1389,22,179,24
1628,1390,20,143,26
1629,1391,24,151,22
1630,1392,20,255,26
1631,1393,25,254,22
1632,1394,24,137,22
1633,1395,25,209,21
1634,1195,23,144,27
1635,1396,24,185,22
1636,1397,24,244,24
1637,1398,25,141,21
1638,731,28,152,21
1639,1399,22,133,24
1640,1400,27,252,21
1641,1401,25,203,21
1642,1402,25,177,21
1643,1403,26,218,21
1644,1404,25,150,22
1645,1405,24,150,23
1646,1406,22,166,25
1647,1407,23,229,23
1648,1408,24,161,22
1649,1409,24,225,22
1650,1410,20,201,26
1651,1411,25,194,22
1652,1412,24,233,22
1653,1413,23,203,23
1654,1414,24,219,22
1655,1415,23,183,23
1656,1416,24,213,22
1657,1417,22,204,26
1658,1418,36,157,10
1659,338,29,168,20
1660,1419,24,131,22
1661,694,26,132,22
1662,687,27,248,22
1663,1420,25,162,22
1664,1421,22,226,25
1665,1422,24,195,22
1666,1423,24,146,23
1667,1424,18,215,28
1668,1425,26,134,21
1669,1426,24,182,23
1670,1427,23,207,23
1671,1428,22,242,25
1672,1196,26,164,22
1673,890,27,188,21
1674,1429,22,183,24
1675,1430,23,163,23
1676,1431,24,254,23
1677,1432,23,219,23
1678,1160,24,156,24
1679,1433,26,170,21
1680,1434,25,138,22
1681,1435,23,149,23
1682,1436,19,175,27
1683,1437,24,253,22
1684,119,29,160,22
1685,1438,23,179,23
1686,1439,23,213,23
1687,678,30,160,21
1688,1440,23,230,24
1689,1441,24,234,23
1690,1442,24,179,22
1691,1443,18,225,28
1692,1444,21,150,26
1693,1445,25,167,21
1694,785,23,200,26
1695,1446,23,169,23
1696,1252,25,132,23
1697,1447,24,130,23
1698,1448,23,155,23
1699,73,30,192,22
1700,1417,23,255,23
1701,1449,22,199,24
1702,1450,24,162,23
1703,1367,24,205,22
1704,1451,24,201,22
1705,1452,25,201,21
1706,1453,25,131,21
1707,1454,23,141,23
1708,1455,22,187,24
1709,790,27,160,24
1710,1456,22,220,26
1711,678,29,128,24
1712,1457,25,222,22
1713,977,25,204,23
1714,1458,23,170,24
1715,1459,23,246,24
1716,1460,24,158,23
1717,1461,21,211,25
1718,1462,26,250,21
1719,951,26,196,22
1720,1463,22,195,24
1721,1464,23,212,25
1722,1465,21,223,25
1723,1466,25,174,22
1724,1467,23,243,23
1725,1468,24,135,22
1726,1469,22,155,24
1727,1470,22,153,24
1728,1471,23,134,24
1729,1472,36,141,10
1730,1473,21,250,26
1731,1474,24,214,23
1732,1475,22,201,24
1733,1071,26,248,23
1734,1476,23,231,23
1735,1477,23,190,24
1736,1478,22,139,24
1737,1479,23,214,24
1738,434,28,144,22
1739,349,36,155,10
1740,1480,23,206,24
1741,1481,16,239,30
1742,1482,22,146,25
1743,1483,39,152,10
1744,1484,22,150,25
1745,1070,25,184,24
1746,1485,21,146,26
1747,1486,21,137,25
1748,809,26,204,22
1749,1487,23,251,23
1750,1488,20,174,27
1751,1489,21,241,25
1752,1314,26,168,23
1753,1490,21,132,27
1754,1093,26,200,23
1755,1491,22,243,24
1756,1492,21,143,25
1757,897,26,188,22
1758,929,26,180,22
1759,1493,25,210,22
1760,1494,25,217,21
1761,1495,36,149,10
1762,1496,24,220,24
1763,1497,20,187,26
1764,1498,23,153,23
1765,385,37,150,10
1766,1203,26,240,24
1767,1499,20,219,26
1768,1500,17,129,29
1769,1501,22,197,24
1770,1188,25,164,23
1771,430,26,232,23
1772,1502,20,207,26
1773,1503,25,178,22
1774,1504,21,186,26
1775,1505,23,178,24
1776,1506,23,228,25
1777,1383,23,168,26
1778,1507,23,218,24
1779,1508,20,251,26
1780,1172,27,136,22
1781,1509,22,213,24
1782,1510,24,157,22
1783,1511,22,175,24
1784,1512,18,253,28
1785,1513,24,242,23
1786,1206,24,132,24
1787,1514,23,215,23
1788,1515,22,221,24
1789,1516,19,145,27
1790,1012,24,164,24
1791,1173,24,230,23
1792,1265,26,152,23
1793,1490,22,165,24
1794,1517,23,167,23
1795,1518,20,141,26
1796,1519,22,194,25
1797,1520,23,174,24
1798,1521,38,156,10
1799,1522,20,129,26
1800,1523,23,185,23
1801,634,36,135,10
1802,1524,24,170,23
1803,1525,22,169,24
1804,1396,23,148,25
1805,793,25,248,24
1806,1526,24,165,22
